"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2008,"karnes","48255","Barack Obama","democrat",5.8,0.388778440468301
2008,"kaufman","48257","Barack Obama","democrat",5.2,0.317570066865841
2008,"kendall","48259","Barack Obama","democrat",3.8,0.214916995103308
2008,"kenedy","48261","Barack Obama","democrat",3.4,0.534653465346535
2008,"kent","48263","Barack Obama","democrat",4.1,0.220982142857143
2008,"kerr","48265","Barack Obama","democrat",3.9,0.246940946976414
2008,"kimble","48267","Barack Obama","democrat",3.7,0.185567010309278
2008,"king","48269","Barack Obama","democrat",4.5,0.049079754601227
2008,"kinney","48271","Barack Obama","democrat",5.2,0.408123791102515
2008,"kleberg","48273","Barack Obama","democrat",4.2,0.532199270959903
2008,"knox","48275","Barack Obama","democrat",3.8,0.26827485380117
2008,"lamar","48277","Barack Obama","democrat",5.3,0.285535344733689
2008,"lamb","48279","Barack Obama","democrat",4.4,0.255469613259668
2008,"lampasas","48281","Barack Obama","democrat",4,0.249279538904899
2008,"la salle","48283","Barack Obama","democrat",5.3,0.592342342342342
2008,"lavaca","48285","Barack Obama","democrat",3.4,0.227289310470631
2008,"lee","48287","Barack Obama","democrat",3.9,0.313627097381214
2008,"leon","48289","Barack Obama","democrat",4.3,0.201391847748899
2008,"liberty","48291","Barack Obama","democrat",5.9,0.27702765190049
2008,"limestone","48293","Barack Obama","democrat",4.3,0.328802927339258
2008,"lipscomb","48295","Barack Obama","democrat",2.8,0.123407643312102
2008,"live oak","48297","Barack Obama","democrat",4.2,0.25095785440613
2008,"llano","48299","Barack Obama","democrat",4.2,0.23366912451968
2008,"loving","48301","Barack Obama","democrat",7,0.151898734177215
2008,"lubbock","48303","Barack Obama","democrat",3.7,0.312567925031271
2008,"lynn","48305","Barack Obama","democrat",4.6,0.296313799621928
2008,"mcculloch","48307","Barack Obama","democrat",3.9,0.241860465116279
2008,"mclennan","48309","Barack Obama","democrat",4.5,0.376509275296835
2008,"mcmullen","48311","Barack Obama","democrat",5.4,0.245810055865922
2008,"madison","48313","Barack Obama","democrat",5.2,0.281296023564065
2008,"marion","48315","Barack Obama","democrat",5,0.386641580432738
2008,"martin","48317","Barack Obama","democrat",3.5,0.183090379008746
2008,"mason","48319","Barack Obama","democrat",3,0.257425742574257
2008,"matagorda","48321","Barack Obama","democrat",6.7,0.358845874080659
2008,"maverick","48323","Barack Obama","democrat",10.6,0.781972758021757
2008,"medina","48325","Barack Obama","democrat",5,0.327063608057444
2008,"menard","48327","Barack Obama","democrat",4.3,0.289783889980354
2008,"midland","48329","Barack Obama","democrat",2.8,0.209689285096071
2008,"milam","48331","Barack Obama","democrat",5.4,0.364245542658849
2008,"mills","48333","Barack Obama","democrat",3.9,0.182820395039045
2008,"mitchell","48335","Barack Obama","democrat",5.4,0.241053064582476
2008,"montague","48337","Barack Obama","democrat",3.5,0.200880503144654
2008,"montgomery","48339","Barack Obama","democrat",4.2,0.232522632675946
2008,"moore","48341","Barack Obama","democrat",3.1,0.206547728526761
2008,"morris","48343","Barack Obama","democrat",6,0.391577743902439
2008,"motley","48345","Barack Obama","democrat",4.3,0.112794612794613
2008,"nacogdoches","48347","Barack Obama","democrat",4.3,0.358813218759352
2008,"navarro","48349","Barack Obama","democrat",5.4,0.330862079529441
2008,"newton","48351","Barack Obama","democrat",7.3,0.332889733840304
2008,"nolan","48353","Barack Obama","democrat",3.8,0.300414773849496
2008,"nueces","48355","Barack Obama","democrat",4.5,0.473298429319372
2008,"ochiltree","48357","Barack Obama","democrat",2.7,0.0781601801222258
2008,"oldham","48359","Barack Obama","democrat",4.4,0.110869565217391
2008,"orange","48361","Barack Obama","democrat",6.4,0.260014962932735
2008,"palo pinto","48363","Barack Obama","democrat",4.1,0.25267947421638
2008,"panola","48365","Barack Obama","democrat",3.8,0.253132341425215
2008,"parker","48367","Barack Obama","democrat",4.4,0.219015244728994
2008,"parmer","48369","Barack Obama","democrat",3.3,0.193643953676273
2008,"pecos","48371","Barack Obama","democrat",4.4,0.368079800498753
2008,"polk","48373","Barack Obama","democrat",6.1,0.309196486177974
2008,"potter","48375","Barack Obama","democrat",4,0.297837603705061
2008,"presidio","48377","Barack Obama","democrat",10.3,0.712578258394991
2008,"rains","48379","Barack Obama","democrat",5,0.247403210576015
2008,"randall","48381","Barack Obama","democrat",3.1,0.182667078252817
2008,"reagan","48383","Barack Obama","democrat",2,0.198189134808853
2008,"real","48385","Barack Obama","democrat",3.7,0.23034398034398
2008,"red river","48387","Barack Obama","democrat",6.4,0.304631828978622
2008,"reeves","48389","Barack Obama","democrat",5.7,0.521936951576211
2008,"refugio","48391","Barack Obama","democrat",3.8,0.423796381478074
2008,"roberts","48393","Barack Obama","democrat",2.5,0.0791505791505791
2008,"robertson","48395","Barack Obama","democrat",4.9,0.398658718330849
2008,"rockwall","48397","Barack Obama","democrat",4.5,0.264828790619348
2008,"runnels","48399","Barack Obama","democrat",4.7,0.186190845616757
2008,"rusk","48401","Barack Obama","democrat",4.3,0.266157461809636
2008,"sabine","48403","Barack Obama","democrat",8.9,0.220968403775133
2008,"san augustine","48405","Barack Obama","democrat",6.1,0.357469717362046
2008,"san jacinto","48407","Barack Obama","democrat",5.7,0.303750837240455
2008,"san patricio","48409","Barack Obama","democrat",5.3,0.413815666479716
2008,"san saba","48411","Barack Obama","democrat",5.4,0.198209198209198
